id,speed_condition,cue_condition,difficulty,position,cue_position,response,difference,response_time,cue_deflections,difficulty_id,cue_deflections_id,absolute_cue_id,deflection
3,1,1,30,0.10393198463514164,0.10393198463514164,0.02009779609859086,-0.08383418853655078,0.3472772241399965,0,2,4,1,1
3,1,1,45,2.865896303944346,2.865896303944346,2.603669403750837,-0.2622269001935087,0.8966221953128152,0,3,4,1,1
3,1,1,45,1.363776482071101,1.363776482071101,0.6692270162222638,-0.6945494658488371,0.6783412567918108,0,3,4,1,1
3,1,1,45,1.7726736645160024,2.1217395149148683,2.375972130860888,0.6032984663448855,0.6854639003495109,20,3,5,2,2
3,1,1,15,2.855297174400009,2.855297174400009,3.0527998291934266,0.19750265479341778,0.5112353789170613,0,1,4,1,1
3,1,1,30,1.4938466765743943,1.4938466765743943,0.687864505198911,-0.8059821713754833,0.6622962148791433,0,2,4,1,1
3,1,1,45,0.8350649055867874,2.056795381982818,1.3739647826776509,0.5388998770908635,0.8384390545559142,70,3,7,4,2
3,1,1,15,2.862091793079364,2.862091793079364,3.0476005561298383,0.18550876305047437,0.5212424344239753,0,1,4,1,1
3,1,1,30,0.4205412440785419,0.4205412440785419,0.25484027636800066,-0.1657009677105412,0.5904125793128595,0,2,4,1,1
3,1,1,30,2.4808014345874314,2.8298672849862974,2.4291242767211303,-0.051677157866301116,0.5471654939824934,20,2,5,2,2
3,1,1,45,2.3059022984111324,0.38604012121736986,2.7239483703492233,0.41804607193809096,0.7116240939247804,-70,3,1,4,2
3,1,1,30,1.476839325385443,2.698569801781474,1.2549980830528458,-0.22184124233259728,0.9260631534081548,70,2,7,4,2
4,1,1,15,0.24794546410513796,0.24794546410513796,0.20827544705671297,-0.03967001704842499,0.4360112333771364,0,1,4,1,1
4,1,1,45,2.3790740333230125,0.11014600573038358,2.6110347665603455,0.23196073323733302,0.3902887152848888,-50,3,2,3,2
4,1,1,15,2.1202359544249383,2.992900580422103,2.228156271049089,0.10792031662415091,0.3596423772654383,50,1,6,3,2
4,1,1,15,1.4284139255980266,2.6501444019940577,1.3054375333242134,-0.12297639227381318,0.4148012893931186,70,1,7,4,2
4,1,1,30,2.8350786104468746,0.5661505828542466,2.4195668484621624,-0.4155117619847122,0.387628194803439,-50,2,2,3,2
4,1,1,45,2.160513947022635,3.0331785730198,2.2040062037192314,0.04349225669659651,0.4217588630378592,50,3,6,3,2
4,1,1,15,2.1638975179171807,2.512963368316047,2.0937665141790234,-0.07013100373815728,0.37458643981461665,20,1,5,2,2
4,1,1,15,1.957901860342038,1.957901860342038,2.043922324925565,0.08602046458352697,0.37940087628718344,0,1,4,1,1
4,1,1,15,1.4018733721084473,1.4018733721084473,1.3563666395577862,-0.045506732550661066,0.8944926086558843,0,1,4,1,1
4,1,1,15,2.7480216761039644,0.47909364851133596,2.397043688521209,-0.35097798758275545,0.47132233626897035,-50,1,2,3,2
4,1,1,45,1.0881625193795568,1.0881625193795568,1.12990079611318,0.04173827673362318,0.39338777971420114,0,3,4,1,1
4,1,1,45,0.6271679765249103,0.6271679765249103,2.4416997838705496,-1.3270608462441538,0.44122633394813665,0,3,4,1,1
4,1,1,15,1.12707474584895,1.12707474584895,0.7303357680237781,-0.396738977825172,0.4283176203816995,0,1,4,1,1
4,1,1,30,1.2932285231322345,1.2932285231322345,1.54433191853849,0.2511033954062556,0.489810166520434,0,2,4,1,1
4,1,1,45,2.2230004944659925,2.572066344864859,2.4332229891033985,0.21022249463740605,0.35430409019222947,20,3,5,2,2
4,1,1,45,2.772914910504296,2.772914910504296,1.1823578051007801,1.5510355481862772,0.4280841819600143,0,3,4,1,1
4,1,1,30,1.5557668882574909,2.777497364653521,2.458751989748359,0.9029851014908683,0.33403282735504103,70,2,7,4,2
4,1,1,30,1.288643075607462,2.1613077016046267,2.281236381697773,0.9925933060903112,0.3890097314257082,50,2,6,3,2
4,1,1,45,3.0771414528637404,0.8082134252711124,2.3428109681054212,-0.7343304847583192,0.40673442129598975,-50,3,2,3,2
4,1,1,30,0.6673207933820642,1.8890512697780948,2.3672805105143935,-1.4416329364574638,0.40631959074980234,70,2,7,4,2
4,1,1,30,2.8399035386824063,0.9200413614886429,2.811449010907712,-0.02845452777469415,0.3817260215163704,-70,2,1,4,2
4,1,1,30,0.30362583331591075,0.30362583331591075,0.11942892601833854,-0.1841969072975722,0.4075471442443109,0,2,4,1,1
4,1,1,30,1.3038423553585634,1.3038423553585634,0.4529718580133508,-0.8508704973452126,0.4014210794894782,0,2,4,1,1
4,1,1,45,2.3281842234115326,2.3281842234115326,2.460878391153919,0.13269416774238652,0.40912331554006964,0,3,4,1,1
4,0,1,15,1.960435235391129,0.04057305819736623,2.2393009073520607,0.2788656719609317,0.5046174920521609,-70,1,1,4,2
4,0,1,45,0.3924588373423843,0.3924588373423843,0.5840406591432092,0.19158182180082495,1.029353187712516,0,3,4,1,1
4,0,1,30,0.34495260312007936,0.6940184535189453,0.5220005308519475,0.17704792773186817,0.8267307934534998,20,2,5,2,2
4,0,1,15,2.3083877458917113,2.3083877458917113,2.378217360805319,0.06982961491360795,0.5414604190989585,0,1,4,1,1
4,0,1,30,1.4374140949484602,1.4374140949484602,1.577289742023122,0.13987564707466182,0.7186161597901395,0,2,4,1,1
4,0,1,45,1.3429931828526316,2.2156578088497962,0.8057280793028321,-0.5372651035497995,0.7644230606364,50,3,6,3,2
4,0,1,15,0.9191724065751785,1.268238256974044,1.1512548220027021,0.23208241542752361,0.5819028557402908,20,1,5,2,2
4,0,1,15,2.6845105398550237,0.41558251226239573,2.6707566700033016,-0.013753869851722111,0.549680038458826,-50,1,2,3,2
4,0,1,45,1.2712972397485398,1.2712972397485398,1.186260034825809,-0.08503720492273081,0.4618215772861336,0,3,4,1,1
4,0,1,15,2.0704589562821916,0.1505967790884295,2.5372871467235636,0.466828190441372,0.4731079246184837,-70,1,1,4,2
4,0,1,15,2.195146240903978,0.27528406371021585,2.260021512113034,0.0648752712090559,0.583677665270861,-70,1,1,4,2
4,0,1,45,0.6167400760458199,0.6167400760458199,0.5381064743261668,-0.07863360171965317,0.9864294669504473,0,3,4,1,1
4,0,1,45,0.04340058426680482,0.3924664346656703,0.3002946199992893,0.2568940357324845,0.6609691882841013,20,3,5,2,2
4,0,1,45,0.7907218775773743,2.012452353973405,0.7671580637814999,-0.023563813795874466,1.7868377686120176,70,3,7,4,2
4,0,1,30,2.4693492304713933,2.4693492304713933,2.243093481116935,-0.22625574935445814,0.6076734720023258,0,2,4,1,1
4,0,1,45,0.700270343283532,0.700270343283532,0.7823770245528214,0.08210668126928944,0.616147471489254,0,3,4,1,1
4,0,1,30,0.26116992181841203,0.26116992181841203,0.2065907029881675,-0.054579218830244525,0.8302326777450342,0,2,4,1,1
4,0,1,30,1.9001050200171075,1.9001050200171075,2.002291277424996,0.10218625740788845,0.4494324027927612,0,2,4,1,1
4,0,1,30,0.4922687296429089,1.7139992060389395,0.7349822065086271,0.2427134768657182,1.364389369128046,70,2,7,4,2
4,0,1,30,2.5493250221638117,2.5493250221638117,2.5011403158381644,-0.04818470632564731,0.5105621646824914,0,2,4,1,1
4,0,1,30,1.3128090271043522,2.185473653101517,0.582913588955734,-0.7298954381486182,1.2862882028290397,50,2,6,3,2
