Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,0,0,30,2,819,-999,3.0699,3.0668,-0.0031175,0.0031175,1.0792,191
100,0,0,15,1,819,-999,0.1757,0.19864,0.022942,0.022942,1.1661,176
100,0,0,30,2,819,-999,1.6998,1.9616,0.26175,0.26175,0.84729,118
100,0,0,30,2,819,-999,2.426,2.5459,0.11999,0.11999,0.84522,145
100,0,0,30,2,819,-999,1.8612,2.1828,0.32164,0.32164,0.79006,109
100,0,0,30,2,819,-999,3.0809,0.14674,0.20741,0.20741,1.1186,-193
100,0,0,45,3,819,-999,1.9076,1.9494,0.04186,0.04186,1.2284,167
100,0,0,30,2,819,-999,1.2222,1.0853,-0.13699,0.13699,1.1803,141
100,0,0,30,2,819,-999,3.0051,2.954,-0.051165,0.051165,0.87483,164
100,1,0,45,3,819,-999,1.6144,1.7706,0.15615,0.15615,1.1183,68
100,1,0,15,1,819,-999,1.0672,0.78731,-0.27989,0.27989,0.50882,158
100,1,0,30,2,819,-999,1.7986,1.9857,0.1871,0.1871,0.49423,165
100,1,0,45,3,819,-999,3.1022,0.009456,0.048804,0.048804,0.54599,1
100,1,0,15,1,819,-999,2.8641,2.9487,0.084662,0.084662,0.55375,177
100,1,0,45,3,819,-999,0.56596,1.3403,0.77431,0.77431,0.62615,130
100,1,0,15,1,819,-999,2.0227,2.0534,0.030679,0.030679,0.49406,186
100,1,0,45,3,819,-999,0.75874,0.60611,-0.15263,0.15263,0.55783,169
100,1,0,30,2,819,-999,0.25704,0.14708,-0.10996,0.10996,0.5678,174
100,1,0,45,3,819,-999,2.64,1.7177,-0.92235,0.92235,0.64245,123
100,1,0,30,2,819,-999,0.7144,0.88734,0.17294,0.17294,0.5331,167
100,1,0,15,1,819,-999,2.7065,2.4669,-0.23965,0.23965,0.51398,161
100,1,0,15,1,819,-999,1.4256,1.1792,-0.24641,0.24641,0.56502,160
100,1,0,45,3,819,-999,2.4593,2.2832,-0.17619,0.17619,0.57603,167
100,1,0,15,1,819,-999,0.98574,0.56866,-0.41709,0.41709,0.53066,148
100,1,0,15,1,819,-999,2.6078,2.5206,-0.087199,0.087199,0.52107,176
100,1,0,45,3,819,-999,1.9297,0.79721,-1.1325,1.1325,0.5928,115
100,1,0,30,2,819,-999,0.82445,0.79441,-0.030041,0.030041,0.60827,186
100,1,0,30,2,819,-999,2.0847,2.1648,0.080093,0.080093,0.63496,177
100,1,0,30,2,819,-999,0.5149,0.72141,0.20651,0.20651,0.71624,164
100,1,0,15,1,819,-999,0.54917,0.56087,0.011702,0.011702,0.54155,191
100,1,0,15,1,819,-999,2.1846,2.1122,-0.072339,0.072339,0.5138,179
100,1,0,45,3,819,-999,2.5913,2.132,-0.4593,0.4593,0.54741,146
